gender,age_group,level_of_study,lecture_location,accommodation_type,faculty,off_campus_duration,room_category,annual_rent,includes_water,includes_electricity,includes_waste_disposal,has_running_water,has_extra_storage,has_wifi_internet,has_study_area,has_security_services,has_generator_backup_power,hostel_distance_minutes,commute_mode,room_size,furnished_bed,furnished_table,furnished_chairs,has_access_controls,has_janitorial_services,required_deposit,recent_rent_increase,avg_rent_nearby,hostel_location
Male,26-30,Post Graduate,Science,Private room(1 in a room),Faculty of Education,3 years or more,Full self contain,4500,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,3500,1000,4000,Amamoma
Female,21-25,Third year,Science,2 in a room,School of Business,Between a year and 2 years,Self washroom - shared kitchen,2500,No,No,No,Yes,Yes,No,No,No,No,21 - 30 minutes walk,Taxi,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,2000,Ayensu
Female,21-25,Fourth year,Science,2 in a room,School of Biological Sciences,3 years or more,Self washroom - shared kitchen,2500,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,800,2000,Amamoma
Male,21-25,Third year,Science,3 in a room,School of Physical Sciences,Between a year and 2 years,No washroom- No kitchen,1500,No,No,No,Yes,No,No,No,No,No,41 - 50 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,1300,Ola
Male,21-25,Third year,Science,3 in a room,School of Physical Sciences,Between a year and 2 years,No washroom- No kitchen,1500,No,No,No,Yes,No,No,No,No,No,41 - 50 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,1300,Ola
Male,21-25,Third year,Science,3 in a room,School of Medical Sciences,Between a year and 2 years,No washroom- No kitchen,1500,No,No,No,Yes,No,No,No,No,No,41 - 50 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,1300,Ola
Male,21-25,Third year,Science,2 in a room,Faculty of Social Sciences,Between a year and 2 years,Self washroom - shared kitchen,2500,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,700,2000,Amamoma
Female,21-25,Second year,Science,2 in a room,School of Business,6 months to 1 year,Self washroom - shared kitchen,2000,No,No,No,Yes,Yes,No,No,No,No,31 - 40 minutes walk,Shuttle,15 - 20 sqm,Yes,Yes,Yes,No,No,2000,500,1800,Apewosika
Female,21-25,Third year,Science,2 in a room,Faculty of Education,Between a year and 2 years,Self washroom - shared kitchen,2500,No,No,No,Yes,Yes,No,No,No,No,11 - 20 minutes walk,Walking,20 - 30 sqm,Yes,Yes,Yes,No,No,2000,800,2000,Amamoma
Male,21-25,Fourth year,Science,3 in a room,School of Physical Sciences,3 years or more,No washroom- No kitchen,1400,No,No,No,Yes,No,No,No,No,No,31 - 40 minutes walk,Shuttle,20 - 30 sqm,Yes,Yes,Yes,No,No,1000,500,1300,Kwesi Pra
